name,gre,lang,gpa
"Syracuse University",303,74.16666667,65
"Syracuse University",314,80,66.18
"University of Colorado Boulder",321,89.16666667,81.2
"North Carolina State University",324,84.16666667,72.5
"University of Illinois at Urbana-Champaign",314,88.33333333,93.5
"Syracuse University",308,68.33333333,84.9
"University of Colorado Boulder",312,87.5,85
"Carnegie Mellon University",328,94.16666667,73
"University of Colorado Boulder",308,75.83333333,84.3
"North Carolina State University",322,94.16666667,94.8
"University of Southern California",322,94.16666667,94.8
"University of Texas - Dallas",311,91.66666667,82
"Colorado State University",311,91.66666667,82
"Clemson University",311,91.66666667,82
"North Carolina State University",321,90,81
"Indiana University Bloomington",313,84.16666667,74.1
"North Carolina State University",312,80,80.5
"North Carolina State University",322,90.83333333,78
"Indiana University Bloomington",311,89.16666667,94.45
"North Carolina State University",320,85,74.5
"Virginia Tech",306,90.83333333,86.8
"Indiana University Bloomington",315,85,81.7
"University of Connecticut",315,85,81.7
"University of Cincinnati",315,85,81.7
"University of California - San Diego",315,85,81.7
"University of California - Davis",315,85,81.7
"Purdue University West Lafayette",315,85.83333333,98.3
"North Carolina State University",309,89.16666667,93.9
"Purdue University West Lafayette",322,93.33333333,89.1
"Clemson University",316,85.83333333,79.4
"Purdue University West Lafayette",322,91.66666667,87
