name,gre,lang,gpa,exp
"Carnegie Mellon University",328,94.16666667,73,65.895
"Clemson University",311,91.66666667,82,46.738
"Clemson University",316,85.83333333,79.4,46.738
"Colorado State University",311,91.66666667,82,40.561
"Indiana University Bloomington",313,84.16666667,74.1,47.892
"Indiana University Bloomington",311,89.16666667,94.45,47.892
"Indiana University Bloomington",315,85,81.7,47.892
"North Carolina State University",324,84.16666667,72.5,47.892
"North Carolina State University",322,94.16666667,94.8,47.892
"North Carolina State University",321,90,81,47.892
"North Carolina State University",312,80,80.5,47.892
"North Carolina State University",322,90.83333333,78,47.892
"North Carolina State University",320,85,74.5,47.892
"North Carolina State University",309,89.16666667,93.9,47.892
"Purdue University West Lafayette",315,85.83333333,98.3,41.834
"Purdue University West Lafayette",322,93.33333333,89.1,41.834
"Purdue University West Lafayette",322,91.66666667,87,41.834
"Syracuse University",303,74.16666667,65,61.242
"Syracuse University",314,80,66.18,61.242
"Syracuse University",308,68.33333333,84.9,61.242
"University of California - Davis",315,85,81.7,59.085
"University of California - San Diego",315,85,81.7,56.174
"University of Cincinnati",315,85,81.7,43.122
"University of Colorado Boulder",321,89.16666667,81.2,54427
"University of Colorado Boulder",312,87.5,85,54427
"University of Colorado Boulder",308,75.83333333,84.3,54427
"University of Connecticut",315,85,81.7,50844
"University of Illinois at Urbana-Champaign",314,88.33333333,93.5,44924
"University of Southern California",322,94.16666667,94.8,67212
"University of Texas - Dallas",311,91.66666667,82,41558
"Virginia Tech",306,90.83333333,86.8,41499
